alter,beruf,familienstand,bildungsstand,default,saldo,immobilien,gehalt,kontaktart,tag,monat,dauer,kampagne,btage,vorzugehorigkeit,bausgabe,y
30,unemployed,verheiratet,primaer,no,1787,no,no,cellular,19,oct,79,1,-1,0,unknown,no
33,services,verheiratet,sekundaer,no,4789,yes,yes,cellular,11,may,220,1,339,4,failure,no
35,management,ledig,tertiaer,no,1350,yes,no,cellular,16,apr,185,1,330,1,failure,no
30,management,verheiratet,tertiaer,no,1476,yes,yes,unknown,3,jun,199,4,-1,0,unknown,no
59,blue-collar,verheiratet,sekundaer,no,0,yes,no,unknown,5,may,226,1,-1,0,unknown,no
35,management,ledig,tertiaer,no,747,no,no,cellular,23,feb,141,2,176,3,failure,no
36,self-employed,verheiratet,tertiaer,no,307,yes,no,cellular,14,may,341,1,330,2,other,no
39,technician,verheiratet,sekundaer,no,147,yes,no,cellular,6,may,151,2,-1,0,unknown,no
41,entrepreneur,verheiratet,tertiaer,no,221,yes,no,unknown,14,may,57,2,-1,0,unknown,no
43,services,verheiratet,primaer,no,-88,yes,yes,cellular,17,apr,313,1,147,2,failure,no
39,services,verheiratet,sekundaer,no,9374,yes,no,unknown,20,may,273,1,-1,0,unknown,no
43,admin.,verheiratet,sekundaer,no,264,yes,no,cellular,17,apr,113,2,-1,0,unknown,no
36,technician,verheiratet,tertiaer,no,1109,no,no,cellular,13,aug,328,2,-1,0,unknown,no
20,student,ledig,sekundaer,no,502,no,no,cellular,30,apr,261,1,-1,0,unknown,yes
31,blue-collar,verheiratet,sekundaer,no,360,yes,yes,cellular,29,jan,89,1,241,1,failure,no
40,management,verheiratet,tertiaer,no,194,no,yes,cellular,29,aug,189,2,-1,0,unknown,no
56,technician,verheiratet,sekundaer,no,4073,no,no,cellular,27,aug,239,5,-1,0,unknown,no
37,admin.,ledig,tertiaer,no,2317,yes,no,cellular,20,apr,114,1,152,2,failure,no
25,blue-collar,ledig,primaer,no,-221,yes,no,unknown,23,may,250,1,-1,0,unknown,no
31,services,verheiratet,sekundaer,no,132,no,no,cellular,7,jul,148,1,152,1,other,no
38,management,geschieden,unknown,no,0,yes,no,cellular,18,nov,96,2,-1,0,unknown,no
42,management,geschieden,tertiaer,no,16,no,no,cellular,19,nov,140,3,-1,0,unknown,no
44,services,ledig,sekundaer,no,106,no,no,unknown,12,jun,109,2,-1,0,unknown,no
44,entrepreneur,verheiratet,sekundaer,no,93,no,no,cellular,7,jul,125,2,-1,0,unknown,no
26,housemaid,verheiratet,tertiaer,no,543,no,no,cellular,30,jan,169,3,-1,0,unknown,no
41,management,verheiratet,tertiaer,no,5883,no,no,cellular,20,nov,182,2,-1,0,unknown,no
55,blue-collar,verheiratet,primaer,no,627,yes,no,unknown,5,may,247,1,-1,0,unknown,no
67,retired,verheiratet,unknown,no,696,no,no,telephone,17,aug,119,1,105,2,failure,no
56,self-employed,verheiratet,sekundaer,no,784,no,yes,cellular,30,jul,149,2,-1,0,unknown,no
53,admin.,verheiratet,sekundaer,no,105,no,yes,cellular,21,aug,74,2,-1,0,unknown,no
68,retired,geschieden,sekundaer,no,4189,no,no,telephone,14,jul,897,2,-1,0,unknown,yes
31,technician,verheiratet,sekundaer,no,171,no,no,cellular,27,aug,81,3,-1,0,unknown,no
59,management,verheiratet,sekundaer,no,42,no,no,cellular,21,nov,40,1,-1,0,unknown,no
32,management,ledig,tertiaer,no,2536,yes,no,cellular,26,aug,958,6,-1,0,unknown,yes
49,technician,verheiratet,tertiaer,no,1235,no,no,cellular,13,aug,354,3,-1,0,unknown,yes
42,admin.,geschieden,sekundaer,no,1811,yes,no,unknown,14,may,150,1,-1,0,unknown,no
78,retired,geschieden,primaer,no,229,no,no,telephone,22,oct,97,1,-1,0,unknown,yes
32,blue-collar,verheiratet,sekundaer,no,2089,yes,no,cellular,14,nov,132,1,-1,0,unknown,yes
33,management,verheiratet,sekundaer,no,3935,yes,no,cellular,6,may,765,1,342,2,failure,yes
23,services,ledig,tertiaer,no,363,yes,no,unknown,30,may,16,18,-1,0,unknown,no
38,management,ledig,tertiaer,no,11971,yes,no,unknown,17,nov,609,2,101,3,failure,no
36,management,ledig,tertiaer,no,553,no,no,cellular,11,aug,106,2,-1,0,unknown,no
52,blue-collar,verheiratet,sekundaer,no,1117,yes,no,cellular,13,may,365,1,-1,0,unknown,no
32,technician,verheiratet,tertiaer,no,396,yes,no,cellular,13,may,205,3,-1,0,unknown,no
32,technician,ledig,tertiaer,no,2204,yes,no,cellular,21,nov,11,4,-1,0,unknown,no
34,management,ledig,tertiaer,no,872,yes,no,unknown,7,may,105,2,-1,0,unknown,no
55,blue-collar,verheiratet,primaer,no,145,no,no,telephone,2,feb,59,3,5,2,other,no
26,blue-collar,verheiratet,primaer,no,0,yes,no,unknown,21,may,425,1,-1,0,unknown,no
32,entrepreneur,ledig,primaer,yes,-849,yes,yes,cellular,4,feb,204,1,-1,0,unknown,no
61,admin.,verheiratet,unknown,no,4629,yes,no,cellular,27,jan,181,1,92,1,success,yes
45,blue-collar,geschieden,primaer,no,844,no,no,unknown,5,jun,1018,3,-1,0,unknown,yes
37,technician,ledig,sekundaer,no,228,yes,no,cellular,20,aug,1740,2,-1,0,unknown,no
38,technician,ledig,sekundaer,no,50,no,no,cellular,29,aug,98,2,-1,0,unknown,no
34,technician,verheiratet,tertiaer,no,1539,yes,no,cellular,15,jun,441,1,56,1,other,yes
53,blue-collar,verheiratet,sekundaer,no,2231,yes,no,cellular,14,jul,272,3,-1,0,unknown,no
48,admin.,verheiratet,sekundaer,no,3064,yes,no,telephone,15,jul,159,2,-1,0,unknown,no
57,management,verheiratet,sekundaer,no,82,no,yes,telephone,4,feb,140,1,-1,0,unknown,no
33,self-employed,ledig,tertiaer,no,2155,no,no,cellular,17,nov,295,1,-1,0,unknown,no
36,retired,ledig,sekundaer,no,101,yes,yes,unknown,26,may,314,1,-1,0,unknown,no
54,technician,geschieden,sekundaer,no,784,yes,yes,unknown,15,may,579,1,-1,0,unknown,no
41,blue-collar,verheiratet,primaer,no,-516,no,yes,telephone,8,jul,554,3,-1,0,unknown,no
63,retired,verheiratet,sekundaer,no,415,yes,no,cellular,7,oct,323,1,-1,0,unknown,no
48,management,verheiratet,tertiaer,no,5887,no,no,cellular,13,aug,227,2,-1,0,unknown,no
48,services,verheiratet,sekundaer,no,1355,no,no,cellular,4,jul,134,2,-1,0,unknown,no
56,admin.,verheiratet,sekundaer,no,16873,no,no,cellular,7,oct,223,1,-1,0,unknown,no
51,blue-collar,geschieden,sekundaer,no,203,yes,no,cellular,8,may,134,1,170,5,failure,no
31,services,verheiratet,sekundaer,no,338,yes,no,cellular,28,jan,155,1,-1,0,unknown,no
29,technician,verheiratet,sekundaer,no,444,yes,no,cellular,21,jul,130,4,-1,0,unknown,no
41,management,verheiratet,sekundaer,no,0,no,yes,cellular,7,jul,630,3,-1,0,unknown,no
32,technician,ledig,tertiaer,no,360,no,no,cellular,19,nov,164,2,-1,0,unknown,no
37,management,verheiratet,tertiaer,no,0,no,no,cellular,16,jul,268,2,182,3,success,yes
42,entrepreneur,geschieden,tertiaer,yes,2,yes,no,unknown,5,may,380,1,-1,0,unknown,no
31,management,ledig,tertiaer,no,6248,yes,no,unknown,9,may,154,2,-1,0,unknown,no
41,services,verheiratet,tertiaer,no,412,yes,no,unknown,3,jun,154,5,-1,0,unknown,no
56,retired,verheiratet,sekundaer,no,344,yes,no,unknown,15,may,221,1,-1,0,unknown,no
54,management,geschieden,tertiaer,no,3222,no,no,cellular,14,aug,67,2,-1,0,unknown,no
41,blue-collar,geschieden,sekundaer,no,174,yes,no,cellular,14,may,367,2,297,1,other,no
